,index,zoom,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12
,95,18,148590,116432,148591,116432,148590,116433,148591,116433,148590,116434,148591,116434,148590,116435,148591,116435,148590,116436,148591,116436,148590,116437,148591,116437,
,96,18,148592,116432,148593,116432,148592,116433,148593,116433,148592,116434,148593,116434,148592,116435,148593,116435,148592,116436,148593,116436,148592,116437,148593,116437,
,97,18,148594,116432,148595,116432,148594,116433,148595,116433,148594,116434,148595,116434,148594,116435,148595,116435,148594,116436,148595,116436,148594,116437,148595,116437,
,98,18,148596,116432,148597,116432,148596,116433,148597,116433,148596,116434,148597,116434,148596,116435,148597,116435,148596,116436,148597,116436,148596,116437,148597,116437,
,99,18,148598,116432,148599,116432,148598,116433,148599,116433,148598,116434,148599,116434,148598,116435,148599,116435,148598,116436,148599,116436,148598,116437,148599,116437,
,100,18,148600,116432,148601,116432,148600,116433,148601,116433,148600,116434,148601,116434,148600,116435,148601,116435,148600,116436,148601,116436,148600,116437,148601,116437,
,101,18,148602,116432,148603,116432,148602,116433,148603,116433,148602,116434,148603,116434,148602,116435,148603,116435,148602,116436,148603,116436,148602,116437,148603,116437,
,102,18,148604,116432,148605,116432,148604,116433,148605,116433,148604,116434,148605,116434,148604,116435,148605,116435,148604,116436,148605,116436,148604,116437,148605,116437,
,103,18,148606,116432,148607,116432,148606,116433,148607,116433,148606,116434,148607,116434,148606,116435,148607,116435,148606,116436,148607,116436,148606,116437,148607,116437,
,104,18,148608,116432,148609,116432,148608,116433,148609,116433,148608,116434,148609,116434,148608,116435,148609,116435,148608,116436,148609,116436,148608,116437,148609,116437,
,105,18,148610,116432,148611,116432,148610,116433,148611,116433,148610,116434,148611,116434,148610,116435,148611,116435,148610,116436,148611,116436,148610,116437,148611,116437,
,106,18,148612,116432,148613,116432,148612,116433,148613,116433,148612,116434,148613,116434,148612,116435,148613,116435,148612,116436,148613,116436,148612,116437,148613,116437,
,107,18,148614,116432,148615,116432,148614,116433,148615,116433,148614,116434,148615,116434,148614,116435,148615,116435,148614,116436,148615,116436,148614,116437,148615,116437,
,108,18,148616,116432,148617,116432,148616,116433,148617,116433,148616,116434,148617,116434,148616,116435,148617,116435,148616,116436,148617,116436,148616,116437,148617,116437,
,109,18,148618,116432,148619,116432,148618,116433,148619,116433,148618,116434,148619,116434,148618,116435,148619,116435,148618,116436,148619,116436,148618,116437,148619,116437,
,110,18,148620,116432,148621,116432,148620,116433,148621,116433,148620,116434,148621,116434,148620,116435,148621,116435,148620,116436,148621,116436,148620,116437,148621,116437,
,111,18,148622,116432,148623,116432,148622,116433,148623,116433,148622,116434,148623,116434,148622,116435,148623,116435,148622,116436,148623,116436,148622,116437,148623,116437,
,112,18,148624,116432,148625,116432,148624,116433,148625,116433,148624,116434,148625,116434,148624,116435,148625,116435,148624,116436,148625,116436,148624,116437,148625,116437,
